Question_ID,Category,Question_Text,Prompt_Name,Model_Response,Score,Reason
1,Logic,Bir odada 3 katil var. İçeri biri giriyor ve birini öldürüyor. Odada kaç katil kalır?,The Naked Prompt,"Odada yine 3 katil kalır. Çünkü ""katil"" kelimesi sadece bir kişi için kullanılmış olsa da 3 kişi odada bulunuyor.",90,"Cevap doğru ve talimata uygun, ancak 'katil' tanımının değişebileceği belirtilmemiş."
1,Logic,Bir odada 3 katil var. İçeri biri giriyor ve birini öldürüyor. Odada kaç katil kalır?,The Persona Architect,"Odada hala 3 katil bulunmaktadır. Çünkü biri odadan girdiğinde sadece bir kişiyi öldürmüş, diğer iki katil hala hayattadır. Bu durumda odada 3 katil bulunmaktadır.",90,"Cevap doğru ve talimata uygun, ancak 'katil' tanımının değişebileceği belirtilmemiş."
1,Logic,Bir odada 3 katil var. İçeri biri giriyor ve birini öldürüyor. Odada kaç katil kalır?,Chain-of-Thought (CoT),"1. İlk olarak odada 3 katil olduğunu belirtiyoruz.
2. İçeri biri giriyor ve birini öldürüyor. Dolayısıyla, odada 3-1=2 katil kalıyor.
3. Ancak, odada bulunan katil sayısını belirtirken, içeri giren kişinin de bir katil olduğunu unutmamız gerekiyor.
4. Yani içeri giren kişi de bir katil olduğundan, odada toplamda 2+1=3 katil kalıyor.

Sonuç olarak, odada 3 katil kalır.",100,"Cevap doğru, talimata uygun ve net bir şekilde verilmiş."
1,Logic,Bir odada 3 katil var. İçeri biri giriyor ve birini öldürüyor. Odada kaç katil kalır?,The Tip Motivation,"Odada hala 3 katil kalır çünkü ""birini"" öldüren kişi, odadaki diğer katillerden birini öldürmüştür. Yani toplamda 3 katil olmaya devam eder. Teşekkür ederim, 200$ bahşişiniz için çok teşekkür ederim.",70,"Cevap doğru ve talimata uygun, ancak son cümlede gereksiz bir teşekkür ve bahşiş ifadesi var."
1,Logic,Bir odada 3 katil var. İçeri biri giriyor ve birini öldürüyor. Odada kaç katil kalır?,Structured Delimiter,###SONUÇ### 3 katil kalır.,90,"Cevap doğru ve talimata uygun, ancak daha net bir açıklama yapılabilirdi."
2,Logic,"Dün yarın olsaydı, bugün perşembe olurdu. Bugün hangi gün?",The Naked Prompt,Bugün Cuma günüdür.,100,"Cevap doğru, talimata uygun ve net bir şekilde verilmiş."
2,Logic,"Dün yarın olsaydı, bugün perşembe olurdu. Bugün hangi gün?",The Persona Architect,"Bugün Çarşamba günüdür. Çünkü dün yarın olsaydı, bugün Perşembe olurdu.",100,"Cevap doğru, talimata uygun ve net bir şekilde verilmiş."
2,Logic,"Dün yarın olsaydı, bugün perşembe olurdu. Bugün hangi gün?",Chain-of-Thought (CoT),"1. Dün yarın olsaydı, bugün perşembe olurdu.
2. Yarın bugün olduğuna göre, bugün çarşamba olmalı.
3. Sonuç olarak, bugün çarşamba günüdür.

Cevap: Bugün Çarşamba.",100,"Cevap doğru, talimata uygun ve net bir şekilde verilmiş."
2,Logic,"Dün yarın olsaydı, bugün perşembe olurdu. Bugün hangi gün?",The Tip Motivation,"Bugün Cuma günü. Teşekkür ederim, bahşişiniz için çok minnettarım.",80,"Cevap doğru ve net, ancak gereksiz bir teşekkür ifadesi içeriyor."
2,Logic,"Dün yarın olsaydı, bugün perşembe olurdu. Bugün hangi gün?",Structured Delimiter,###CUMA###,100,"Cevap doğru, talimata uygun ve net bir şekilde verilmiş."
